TFBS_ID	AvgNumBindingSites	PlantPANFamily	TFBSName
TFmatrixID_0533	1.52845080763583	bZIP	NA
TFmatrixID_0534	1.45397758589013	WRKY	NA
TFmatrixID_0540	1.62834317471344	Homeodomain	NA
TFmatrixID_0541	1.2078213610586	Homeodomain	NA
TFmatrixID_0569	2.44910648110022	TBP	NA
TFmatrixID_0570	1.80307001123175	TBP	NA
TFmatrixID_0571	2.33668770254136	TBP	NA
TFmatrixID_0572	6.40976730824476	TBP	NA
TFmatrixID_0580	2.46839320523531	AT-Hook	NA
TFmatrixID_0581	1.51114042802697	AT-Hook	NA
TFmatrixID_0585	2.46889096598529	TBP	NA
TFmatrixID_0064	1.1903162055336	AP2	NA
TFmatrixID_0066	1.43988384868937	AP2	NA
TFmatrixID_0067	1.23239823982398	AP2	NA
TFmatrixID_0079	2.44619654345906	AP2	NA
TFmatrixID_0080	1.48560700876095	AP2	NA
TFmatrixID_0085	1.56923911569239	AP2	NA
TFmatrixID_0086	1.51182999853951	AP2	NA
TFmatrixID_0088	1.60239345463427	AP2	NA
TFmatrixID_0113	1.94759244479915	AP2	NA
TFmatrixID_0118	1.36772032296856	AP2	NA
TFmatrixID_0119	1.70918030820891	AP2	NA
TFmatrixID_0121	1.73704491861736	AP2	NA
TFmatrixID_0130	2.21087092581002	AT-Hook	NA
TFmatrixID_0156	1.54642077444559	B3	NA
TFmatrixID_0157	2.231836058787	bHLH	NA
TFmatrixID_0158	2.45337235599308	bHLH	NA
TFmatrixID_0179	2.45337235599308	bHLH	NA
TFmatrixID_0511	2.45337235599308	bHLH	NA
TFmatrixID_0513	2.45337235599308	bHLH	NA
TFmatrixID_0514	2.45337235599308	bHLH	NA
TFmatrixID_0159	2.07654051431344	bHLH	NA
TFmatrixID_0160	2.37630143777888	bHLH	NA
TFmatrixID_0168	2.37630143777888	bHLH	NA
TFmatrixID_0161	2.11417125688533	bHLH	NA
TFmatrixID_0162	2.45234291799787	bHLH	NA
TFmatrixID_0164	2.45234291799787	bHLH	NA
TFmatrixID_0175	2.45234291799787	bHLH	NA
TFmatrixID_0178	2.45234291799787	bHLH	NA
TFmatrixID_0163	2.4466728649223	bHLH	NA
TFmatrixID_0165	1.99215112411866	bHLH	NA
TFmatrixID_0166	2.22470087203407	bHLH	NA
TFmatrixID_0169	2.14982547212029	bHLH	NA
TFmatrixID_0177	2.14982547212029	bHLH	NA
TFmatrixID_0170	2.35469466570118	bHLH	NA
TFmatrixID_0171	2.45044565651191	bHLH	NA
TFmatrixID_0172	2.11607530774801	bHLH	NA
TFmatrixID_0173	2.44724953494552	bHLH	NA
TFmatrixID_0182	2.10891369637899	bZIP	NA
TFmatrixID_0183	2.3039607350759	bZIP	NA
TFmatrixID_0184	2.08883075523203	bZIP	NA
TFmatrixID_0189	1.61348874971004	bZIP	NA
TFmatrixID_0200	2.08354271356784	bZIP	NA
TFmatrixID_0202	2.12558550596553	bZIP	NA
TFmatrixID_0214	1.40180097278822	C2H2	NA
TFmatrixID_0220	2.32835980533718	CG-1	NA
TFmatrixID_0221	2.00582847626978	CG-1	NA
TFmatrixID_0252	2.04401502952228	E2F	NA
TFmatrixID_0256	3.41474233529028	EIN3	NA
TFmatrixID_0280	1.5564138576779	Homeodomain	NA
TFmatrixID_0290	1.41996494815248	Homeodomain	NA
TFmatrixID_0298	1.24564676616915	Homeodomain	NA
TFmatrixID_0336	1.30970149253731	Myb/SANT	NA
TFmatrixID_0385	1.19986879510168	NAC;NAM	NA
TFmatrixID_0386	1.15372562674095	NAC;NAM	NA
TFmatrixID_0388	1.22982245942708	NAC;NAM	NA
TFmatrixID_0389	1.19830100164828	NAC;NAM	NA
TFmatrixID_0390	1.18450184501845	NAC;NAM	NA
TFmatrixID_0391	1.33795536593371	NAC;NAM	NA
TFmatrixID_0392	1.23825539763481	NAC;NAM	NA
TFmatrixID_0393	1.30236053399346	NAC;NAM	NA
TFmatrixID_0394	1.27728013029316	NAC;NAM	NA
TFmatrixID_0395	1.20355158250785	NAC;NAM	NA
TFmatrixID_0396	1.11493520288931	NAC;NAM	NA
TFmatrixID_0397	1.15620847482652	NAC;NAM	NA
TFmatrixID_0407	1.46623748211731	SBP	NA
TFmatrixID_0409	1.88284604375383	SBP	NA
TFmatrixID_0411	1.71031257691361	SBP	NA
TFmatrixID_0417	1.60091654295488	Storekeeper	NA
TFmatrixID_0424	1.48934243521872	TCP	NA
TFmatrixID_0429	1.42064891553518	TCP	NA
TFmatrixID_0431	1.42064891553518	TCP	NA
TFmatrixID_0437	1.45095282724149	TCP	NA
TFmatrixID_0470	1.13024496725685	MADS box	NA
TFmatrixID_0536	1.13024496725685	MADS box	NA
TFmatrixID_0496	2.12714449104079	bZIP	NA
TFmatrixID_0497	2.17113665389527	bHLH	NA
TFmatrixID_0501	1.10851905852947	MADS box	NA
TFmatrixID_0505	1.97255689424364	bHLH	NA
TFmatrixID_0506	2.32716131610497	bHLH	NA
TFmatrixID_0507	1.39757271395689	bHLH	NA
TFmatrixID_0515	1.45193929173693	bZIP	NA
TFmatrixID_0531	1.35114576400114	SBP	NA
TFmatrixID_0558	2.23411885245902	bHLH	NA
TFmatrixID_0559	1.82009747706422	bHLH	NA
TFmatrixID_0070	1.50583941605839	AP2	NA
TFmatrixID_0109	1.59435156197962	AP2	NA
TFmatrixID_0127	1.61131649209283	AP2;B3	NA
TFmatrixID_0228	2.30085899853342	TCR	NA
TFmatrixID_0255	1.58041355542792	EIN3	NA
TFmatrixID_0320	1.46839099323836	Myb/SANT	NA
TFmatrixID_0323	1.53222923865126	Myb/SANT	NA
TFmatrixID_0384	1.48888350396801	NAC;NAM	NA
TFmatrixID_0419	1.97792837602586	TBP	NA
TFmatrixID_0440	1.29972502291476	TCP	NA
TFmatrixID_0474	1.31761960326721	Myb/SANT	NA
TFmatrixID_0509	3.00655712993669	B3	NA
TFmatrixID_0518	1.28775102147266	bZIP;Homeodomain;HD-ZIP	NA
TFmatrixID_0542	1.28775102147266	bZIP;Homeodomain;HD-ZIP	NA
TFmatrixID_0523	1.57854278074866	SBP	NA
TFmatrixID_0527	1.51886244921648	AP2;B3	NA
TFmatrixID_0560	1.51886244921648	AP2;B3	NA
TFmatrixID_0551	1.32574336994375	Myb/SANT	NA
TFmatrixID_0555	1.1025974025974	bZIP	NA
TFmatrixID_0563	1.10331571359923	Myb/SANT	NA
TFmatrixID_0084	1.11043602573267	AP2	NA
TFmatrixID_0185	1.57160514635654	bZIP	NA
TFmatrixID_0195	1.75985210146962	bZIP	NA
TFmatrixID_0254	1.25021468441391	EIN3	NA
TFmatrixID_0257	1.37232052942023	EIN3	NA
TFmatrixID_0258	1.17746136482028	EIN3	NA
TFmatrixID_0259	2.35035093582888	GATA	NA
TFmatrixID_0260	2.64965453707969	GATA	NA
TFmatrixID_0261	1.57531029855753	GATA	NA
TFmatrixID_0264	2.61509915805435	GATA	NA
TFmatrixID_0265	2.51151591289782	GATA	NA
TFmatrixID_0266	2.49234671564769	GATA	NA
TFmatrixID_0267	2.5228838270718	GATA	NA
TFmatrixID_0269	2.50230017251294	GATA	NA
TFmatrixID_0270	2.09279201042119	GATA	NA
TFmatrixID_0271	2.46516764588947	GATA	NA
TFmatrixID_0288	2.00292283710055	Homeodomain	NA
TFmatrixID_0300	1.36269058295964	Homeodomain	NA
TFmatrixID_0304	1.07041829671983	LOB	NA
TFmatrixID_0176	1.56867862969005	bHLH	NA
TFmatrixID_0273	1.01863354037267	GATA	NA
TFmatrixID_0312	1.31346205178397	MADF	NA
TFmatrixID_0316	1.30406589554855	MADF	NA
TFmatrixID_0383	1.17599830974012	NAC;NAM	NA
TFmatrixID_0422	1.21413031031719	TCP	NA
TFmatrixID_0432	1.17986021965483	TCP	NA
TFmatrixID_0452	1.44224677431816	WRKY	NA
TFmatrixID_0054	2.05243565198894	AP2	NA
TFmatrixID_0055	2.10579134434455	AP2	NA
TFmatrixID_0059	2.26597606215441	AP2	NA
TFmatrixID_0060	1.9819130946254	AP2	NA
TFmatrixID_0061	2.15948507062399	AP2	NA
TFmatrixID_0110	2.15948507062399	AP2	NA
TFmatrixID_0122	2.15948507062399	AP2	NA
TFmatrixID_0062	2.40601294453337	AP2	NA
TFmatrixID_0069	2.13030831878999	AP2	NA
TFmatrixID_0075	2.25907697272874	AP2	NA
TFmatrixID_0077	1.48028210986391	AP2	NA
TFmatrixID_0078	2.39281617436192	AP2	NA
TFmatrixID_0081	2.92085822068532	AP2	NA
TFmatrixID_0082	2.21426122728831	AP2	NA
TFmatrixID_0083	2.18476614699332	AP2	NA
TFmatrixID_0087	2.18476614699332	AP2	NA
TFmatrixID_0100	2.25315976689624	AP2	NA
TFmatrixID_0101	2.21765269669774	AP2	NA
TFmatrixID_0102	2.39520919000065	AP2	NA
TFmatrixID_0107	2.18879281112241	AP2	NA
TFmatrixID_0181	1.4289814662949	bZIP	NA
TFmatrixID_0190	1.42860657754449	bZIP	NA
TFmatrixID_0192	1.49789458399884	bZIP	NA
TFmatrixID_0194	1.69057898160743	bZIP	NA
TFmatrixID_0198	1.48685537551267	bZIP	NA
TFmatrixID_0201	1.4605086013463	bZIP	NA
TFmatrixID_0203	1.36407977455018	bZIP	NA
TFmatrixID_0287	2.61736682546557	Homeodomain	NA
TFmatrixID_0303	1.13342175066313	LOB	NA
TFmatrixID_0346	2.3889003934562	Myb/SANT	NA
TFmatrixID_0366	1.28157820039739	Myb/SANT	NA
TFmatrixID_0469	1.08583364982909	MADS box	NA
TFmatrixID_0537	1.08583364982909	MADS box	NA
TFmatrixID_0476	1.80962678199584	AT-Hook	NA
TFmatrixID_0489	1.42912191522506	bZIP	NA
TFmatrixID_0500	1.0902466367713	MADS box	NA
TFmatrixID_0508	1.48145366304599	MADS box	NA
TFmatrixID_0529	1.07816711590296	MADS box	NA
TFmatrixID_0538	1.08175355450237	MADS box	NA
TFmatrixID_0539	1.04184704184704	AP2	NA
TFmatrixID_0579	1.0951595159516	Myb/SANT	NA
TFmatrixID_0072	1.07184672698244	AP2	NA
TFmatrixID_0263	1.1862374560146	GATA	NA
TFmatrixID_0426	1.33550441453177	TCP	NA
TFmatrixID_0430	1.31527415143603	TCP	NA
TFmatrixID_0435	1.31527415143603	TCP	NA
TFmatrixID_0439	1.31527415143603	TCP	NA
TFmatrixID_0433	1.31539969505554	TCP	NA
TFmatrixID_0436	1.14216534071256	TCP	NA
TFmatrixID_0438	1.34314006888634	TCP	NA
TFmatrixID_0524	1.1668506254599	Myb/SANT	NA
TFmatrixID_0547	1.1668506254599	Myb/SANT	NA
TFmatrixID_0103	1.95622520704294	AP2	NA
TFmatrixID_0191	1.50601070815234	bZIP	NA
TFmatrixID_0196	1.36222477817943	bZIP	NA
TFmatrixID_0354	1.66976427923844	Myb/SANT	NA
TFmatrixID_0481	1.04045853000674	MADS box	NA
TFmatrixID_0490	1.3010893685697	bZIP	NA
TFmatrixID_0493	1.11088400613183	MADS box	NA
TFmatrixID_0516	1.06643109540636	AP2	NA
TFmatrixID_0562	1.17158764973848	EIN3	NA
TFmatrixID_0519	1.1190261496844	Myb/SANT	NA
TFmatrixID_0532	1.07971713275474	TCP	NA
TFmatrixID_0217	1.10087316176471	C2H2	NA
TFmatrixID_0485	1.19868693849343	C2H2	NA
TFmatrixID_0434	2.46271455358431	TCP	NA
TFmatrixID_0487	1.16613511162656	AP2	NA
TFmatrixID_0215	1.139930342143	C2H2	NA
TFmatrixID_0219	1.139930342143	C2H2	NA
TFmatrixID_0330	1.08647798742138	Myb/SANT	NA
TFmatrixID_0352	1.19598746081505	Myb/SANT	NA
TFmatrixID_0512	1.20652376514445	AP2	NA
TFmatrixID_0381	1.17569786535304	NAC;NAM	NA
TFmatrixID_0423	1.09236947791165	TCP	NA
TFmatrixID_0498	1.13994358863094	AP2	NA
TFmatrixID_0530	1.0710696338837	MADS box	NA
TFmatrixID_0420	2.28152353915306	TCP	NA
TFmatrixID_0425	2.32532426110993	TCP	NA
TFmatrixID_0147	1.07721280602637	AT-Hook	NA
TFmatrixID_0053	1.17793939393939	AP2	NA
TFmatrixID_0071	1.17793939393939	AP2	NA
TFmatrixID_0216	1.12054689004429	C2H2	NA
TFmatrixID_0428	2.10240334378265	TCP	NA
